int32	string	string
skillId	key	resource
3	selfEffect	Effects/anni_pugong_shoot
3	hitEffect	Effects/anni_pugong_hit
4	selfEffect	Effects/manwang_xuanfengzhan_shoot
4	hitEffect	Effects/nvqiang_dazhao_hit
5	selfEffect	Effects/anni_pugong_shoot
5	emitEffect	Effects/nvqiang_pugong_shoot
5	hitEffect	Effects/nvqiang_pugong_hit
6	selfEffect	Effects/gailun_shenpan_shoot
6	hitEffect	Effects/gailun_shenpan_hit
7	selfEffect	Effects/shitouren_dazhao_shoot
7	hitEffect	Effects/shitouren_dazhao_hit
8	selfEffect	Effects/anni_fengshao_shoot
8	hitEffect	Effects/anni_fengshao_hit
9	selfEffect	Effects/anni_dazhao_shoot
10	selfEffect	Effects/hanbing_wanjian_shoot
10	hitEffect	Effects/hanbing_wanjian_hit
11	selfEffect	Effects/manwang_xuanfengzhan_shoot
11	hitEffect	Effects/manwang_xuanfengzhan_hit
13	selfEffect	Effects/buff_xuanyun
14	selfEffect	Effects/buff_xuanyun
15	selfEffect	Effects/nvqiang_dazhao
15	hitEffect	Effects/nvqiang_dazhao_hit
16	selfEffect	Effects/ez_gongji_shoot
16	emitEffect	Effects/ez_dazhao_shoot
17	selfEffect	Effects/jianshen_pugong_shoot
17	hitEffect	Effects/jianshen_dazhao_hit
18	selfEffect	Effects/jiqiren_dazhao_shoot
18	hitEffect	Effects/jiqiren_dazhao_hit
18	emitEffect	Effects/jiqiren_laren_shoot
19	selfEffect	Effects/buff_xuanyun
20	hitEffect	Effects/burn_ez
21	selfEffect	Effects/anni_dazhao_bear
21	hitEffect	Effects/anni_dazhao_hit
22	hitEffect	Effects/skill_zhaohuanshi_zhiliao
23	hitEffect	Effects/skill_zhaohuanshi_xuruo
24	selfEffect	Effects/burn_hanbing
