int32	int32	int32	int32	int32	string
id	dialogId	index	speaker	leftOrRight	dialog
100	1	0	0	0	这是一个完全放置的游戏demo
101	1	1	0	0	服务器的底层架构是比较完整的，应该可以适应开房间与MMO的游戏类型
102	1	2	0	0	为了简单，游戏的战斗逻辑完全放到客户端了，RoomServer只提供简单的同步，这一点上与MMO相去甚远
103	1	3	0	0	战斗是完全单机的形式
104	1	4	0	0	除底层架构外，游戏逻辑基本上由配表与DSL实现
105	1	5	0	0	客户端采用基于组件的开发来支持模块的热插拔。考虑采用脚本实现部分逻辑的热更新，但脚本实现的逻辑仍然属于游戏底层，目前还未确定使用哪个脚本，或者是自己开发一个适合c#翻译到的脚本
106	1	6	0	0	这个Demo是抽空实现的，所以不确定能做到什么程度
107	1	7	0	0	有空就会实现一点，修改一点
108	1	8	0	0	期望最后能够实现的比较完整吧
200	2	0	0	0	开始战斗！
99800	998	0	1	1	太棒了，你通过了本关的考验，准备好去下一关吧！
99900	999	0	1	1	真是不幸，战役失败了。。。
