int32	string	int32	int32	int32	string	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	float	float	float	float	float	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32
id	name	icon	bigIcon	type	avatar	skill0	skill1	skill2	skill3	skill4	skill5	skill6	skill7	skill8	bornskill	deadskill	size	logicsize	speed	viewrange	gohomerange	x4001	x4002	x4003	x4004	x1001	x1002	x1006	x1007	x1011	x1012	x1016	x1017	x1021	x1022	x1024	x1026	x1028	x1030	x1032	x1033	x1034	x2001	x2002	x2007	x2008
//id	策划用	图标	大图标	类型（0--普通 1--塔 2--Hero 3--BOSS 4--SKILL 5--基地）	形象	普通技	普攻备选1	普攻备选2	普攻备选3	手动技能	被动技能	被动技能	被动技能	被动技能	出生技能	死亡技能	身体尺寸（技能用）	逻辑体积（碰撞用）	移动速度	视野	回家范围	职业	阵营	品质	性别	基础物理攻击	物理攻击成长	基础法术攻击	法术攻击成长	基础物理防御	物理防御成长	基础法术防御	法术防御成长	暴击等级	抗暴击等级	命中等级	闪避等级	破击等级	格挡等级	格挡强度	暴击伤害	暴击伤害减免	基础生命	生命成长	基础速度	速度成长
1	主角1	5	0	2	Characters/monster	3	5			4					1	2	1	1	7	20	20	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
2	主角2	4	0	2	Characters/monster	3	5			4	0	0	0	0	1	2	1	1	8	20	20	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
3	主角3	3	2	2	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	20	20	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
4	主角4	2	2	2	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	20	20	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
5	主角5	1	2	2	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	20	20	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
6	怪1	1	2	2	Characters/monster	3	5			4	0	0	0	0	1	2	1	1	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
7	怪2	1	2	2	Characters/monster	3	5			4	0	0	0	0	1	2	1	1	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
8	怪3	1	2	2	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
9	怪4	1	2	2	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
10	怪5	1	2	2	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
11	怪6	1	2	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
12	怪7	1		0	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
13	怪8	1		0	Characters/monster	3	5			4	0	0	0	0	1	2	0.5	0.5	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
14	怪9	1		0	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
15	怪10	1		0	Characters/monster	3	5			4	0	0	0	0	1	2	0.2	0.2	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
16	怪11	1	2	0	Characters/monster	3	5			4	0	0	0	0	1	2	1.5	1.5	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
17	怪12	1	2	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.7	0.7	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
18	怪13	1	2	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
19	怪14	1	2	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
20	怪15	1	2	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.2	0.2	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
21	怪16	1	2	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.8	0.8	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
22	怪17	1	2	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.5	0.5	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
23	怪18	1	2	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.2	0.2	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
24	怪19	1	2	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.2	0.2	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
25	怪20	1	2	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.2	0.2	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
26	怪21	1	0	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.2	0.2	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
27	怪22	1	0	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.2	0.2	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
28	怪23	1	0	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.2	0.2	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
29	怪24	1	0	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.2	0.2	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
30	怪25	1	0	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.2	0.2	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
31	怪26	1	0	0	Characters/monster	3	5			4	0	0	0	0	1	2	0.2	0.2	8	50	60	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1000	100	10000	6000
