int32		int32	int32	int32
id	描述	value	minValue	maxValue
1001	基础物理攻击	0	-262144	262144
1002	物理攻击成长	0	-262144	262144
1003	物理攻击加成	0	-262144	262144
1004	额外物理攻击	0	-262144	262144
1005	最终物理攻击	0	-262144	262144
1006	基础法术攻击	0	-262144	262144
1007	法术攻击成长	0	-262144	262144
1008	法术攻击加成	0	-262144	262144
1009	额外法术攻击	0	-262144	262144
1010	最终法术攻击	0	-262144	262144
1011	基础物理防御	0	-262144	262144
1012	物理防御成长	0	-262144	262144
1013	物理防御加成	0	-262144	262144
1014	额外物理防御	0	-262144	262144
1015	最终物理防御	0	-262144	262144
1016	基础法术防御	0	-262144	262144
1017	法术防御成长	0	-262144	262144
1018	法术防御加成	0	-262144	262144
1019	额外法术防御	0	-262144	262144
1020	最终法术防御	0	-262144	262144
1021	暴击等级	0	-262144	262144
1022	抗暴击等级	0	-262144	262144
1023	额外暴击率	0	-262144	262144
1024	命中等级	0	-262144	262144
1025	额外命中率	0	-262144	262144
1026	闪避等级	0	-262144	262144
1027	额外闪避率	0	-262144	262144
1028	破击等级	0	-262144	262144
1029	额外破击概率	0	-262144	262144
1030	格挡等级	0	-262144	262144
1031	额外格挡概率	0	-262144	262144
1032	格挡强度	0	-262144	262144
1033	暴击伤害	500	-262144	262144
1034	暴击伤害减免	0	-262144	262144
1035	伤害加成_百分比	0	-262144	262144
1036	伤害加成_定值	0	-262144	262144
1037	伤害减免_百分比	0	-262144	262144
1038	伤害减免_定值	0	-262144	262144
1039	忽略物理防御	0	-262144	262144
1040	忽略法术防御	0	-262144	262144
1041	属性攻击预留	0	-262144	262144
1042	属性攻击预留	0	-262144	262144
1043	属性攻击预留	0	-262144	262144
2001	基础生命	0	0	8388608
2002	生命成长	0	0	8388608
2003	生命加成	0	0	8388608
2004	额外生命	0	0	8388608
2005	最大生命值	0	0	8388608
2006	当前生命值	0	0	8388608
2007	基础速度	0	-262144	262144
2008	速度成长	0	-262144	262144
2009	速度加成	0	-262144	262144
2010	额外速度	0	-262144	262144
2011	最终速度	0	-262144	262144
2012	护盾值	0	-262144	262144
3001	眩晕	0	-262144	262144
3002	昏睡	0	-262144	262144
3003	倒地	0	-262144	262144
3004	减速	0	-262144	262144
3005	浮空	0	-262144	262144
3006	灼烧	0	-262144	262144
3007	感电	0	-262144	262144
3008	霸体	0	-262144	262144
3009	无敌	0	-262144	262144
4001	职业	0	-262144	262144
4002	阵营	0	-262144	262144
4003	品质	1	-262144	262144
4004	性别	0	-262144	262144
5001	等级	1	-262144	262144
5002	经验	0	-262144	268435456
5003	SC最大值	500	-262144	262144
5004	SC当前值	0	-262144	262144
5005	UC最大值	300	-262144	262144
5006	UC当前值	0	-262144	262144
